name,position,age,directorClass,qualificationsAndExperience,committeeMemberships
Adam Eltoukhy,"Executive Vice President, Chief Legal Officer and Corporate Secretary",41,,[],[]
Ann Livermore,Director,65,I,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Human Capital Management']",[]
Dominic Phillips,"Executive Vice President, Chief Financial Officer",42,,[],[]
Hemant Taneja,Director,49,II,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations']",[]
John Bicket,"Co-Founder, Executive Vice President, Chief Technology Officer and Director",44,,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Marketing and Brand Building', 'Human Capital Management']",[]
Jonathan Chadwick,Lead Independent Director,58,III,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Human Capital Management']",[]
Lara Caimi,"Executive Vice President, President of Worldwide Field Operations",47,,[],[]
Marc Andreessen,Director,52,,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Marketing and Brand Building']",[]
Sanjit Biswas,"Co-Founder, Chief Executive Officer and Chair",42,,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Marketing and Brand Building', 'Human Capital Management']",[]
Sue Bostrom,Director,63,I,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Marketing and Brand Building', 'Human Capital Management']",[]
Sue Wagner,Director,62,III,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Human Capital Management']",[]
Todd Bluedorn,Director,61,II,"['Public Company Leadership', 'Financial', 'Corporate Governance', 'Risk Management', 'Technology and Innovation', 'Global Business and Operations', 'Human Capital Management']",[]
